,RU,EN
0,Он сел в трамвай и поехал домой.,He got on the tram and went home.
1,Я хочу стать водителем трамвая.,I want to become a tram driver.
2,Слишком поздно. Трамваи не ходят.,It's too late. The trams aren't running.
3,Я купила два килограмма яблок.,I bought two kilos of apples.
4,Килограмм брокколи стоит сто рублей.,A kilogram of broccoli costs one hundred rubles.
5,Мой рюкзак весит восемь килограммов.,My backpack weights eight kilograms.
6,Эта работа подходит для активных людей.,This work is suitable for active people.
7,Аудитория играет активную роль в жизни артиста.,The audience plays an active role in a performer's life.
8,Маша устала от активной жизни.,Masha got tired of her active life.
9,Моя мама любит гулять в парке вечером.,My mother likes walking in the park in the evening.
10,После школы девочки пошли в парк.,After school the girls went to the park.
11,Фестиваль чая пройдёт на территории Парка Горького.,The Tea Festival will take place on the grounds of Gorky Park.
12,Новый закон защищает интересы бизнесменов.,The new law protects the interests of businessmen.
13,Бизнесмен должен быть честным.,A businessman has to be honest.
14,Российские бизнесмены протестуют против повышения налогов.,Russian businessmen are protesting against a tax increase.
15,Работники музея могут посещать выставки бесплатно.,The museum workers can go to the exhibitions for free.
16,В этом музее есть скелет синего кита.,There is a skeleton of a blue whale in this museum.
17,Музей Москвы был открыт в девятнадцатом веке.,The Moscow Museum opened in the nineteenth century.
18,"Саша – богатый человек, но скромный.",Sasha is a rich man but a modest one.
19,Жизнь в центре города – удовольствие только для богатых людей.,Living in the city center is a luxury for rich people only.
20,Я совсем не хочу быть богатым.,I don't want to be rich at all.
21,Эта группа не сдаст экзамен по химии.,This group won't pass the chemistry exam.
22,Летом мы сдаём экзамены по всем предметам.,In summer we have exams in all subjects. 
23,После экзаменов я собираюсь спать три дня.,After the exams I am going to sleep for three days.
24,Он всегда ест хлеб с маслом на завтрак.,He always has bread and butter for breakfast.
25,Нужно добавить в салат больше оливкового масла.,You need to add more olive oil to the salad.
26,"Дома закончилось сливочное масло, нужно купить."," There’s no more butter in the house, we need to buy some."
27,Немцы любят пиво.,Gemans like beer.
28,В моём университете много немцев.,There are many Germans at my university.
29,"В его анекдотах всегда есть русский, француз и немец.","His jokes are always about a Russian, a Frenchman and a German."
30,Я кладу в чай одну ложку сахара.,I put a spoonful of sugar in my tea.
31,Маленький мальчик ест суп большой ложкой.,The little boy eats soup with a big spoon.
32,Здесь нет ложки.,There is no spoon.
33,Он положил левую руку мне на плечо.,He put his left hand on my shoulder.
34,Левые не получают поддержки от правительства Российской Федерации.,Leftists don't get support from the government of the Russian Federation.
35,Маша сломала палец левой руки.,Masha broke her finger on her left hand.
36,"Это комедия, в ней никто не умирает.","This is a comedy, so nobody dies."
37,Я читал это в комедии Шекспира.,I read it in a comedy by Shakespeare.
38,Я останусь дома и посмотрю хорошую комедию.,I’ll stay at home and watch a good comedy.
39,Мне понравилось это вино.,I really liked this wine.
40,Моему брату не понравился мой новый друг.,My brother didn't like my new friend.
41,София сразу мне понравилась.,I liked Sophia at once.
42,На перемене мы обычно играем в футбол или пинг-понг.,During the break we always play soccer or ping-pong.
43,Никакого футбола в моём дворе!,No soccer in my yard!
44,В 2018 чемпионат мира по футболу прошёл в России.,In 2018 the World Cup was held in Russia.
45,Мы пообедали в новом кафе.,We ate lunch in the new café.
46,После работы мы решили вместе пообедать.,After work we decided to eat lunch together.
47,"Мы с Марией пообедаем вместе, а потом пойдём в кино.",Maria and I are going to eat lunch and then go to the movie theater.
48,"Например, ты можешь положить в сэндвич лист салата.","For example, you can put a lettuce leaf in the sandwich."
49,Папа сегодня готовит свой любимый салат.,Today Dad is making his favorite salad.
50,На Новый Год люди обычно готовят пять или шесть разных салатов.,For the New Year celebration people usually prepare five or six different salads. 
51,Друзья будут ждать меня у стадиона.,My friends will wait for me outside the stadium.
52,"На стадионе ""Лужники"" пройдёт следующий матч чемпионата мира.",The next World Cup will be held at the Luzhniki stadium.
53,Стадион был построен в 2014 году.,The stadium was built in 2014.
54,Я ушла и заперла дверь на ключ.,I left and locked the door with the key.
55,"Кажется, я забыл ключи.",It seems I forgot the keys.
56,Мама откроет дверь своим ключом.,Mom will open the door with her key.
57,Я купила десяток яиц.,I bought ten eggs.
58,Папа достал из холодильника яйца и помидоры.,Dad took eggs and tomatoes out of the refrigerator.
59,На завтрак я съел яйцо.,For breakfast I ate an egg.
60,Я не покупаю одежду этой марки.,I don't buy this brand of clothes.
61,У меня большая коллекция марок.,I have a big stamp collection.
62,Моя сестра предпочитает другую марку пива.,My sister prefers another brand of beer.
63,Брат попросил у меня деньги на обед.,My brother asked me for money to buy lunch.
64,Я хотела попросить у него денег.,I wanted to ask him for money.
65,"Саша, мама попросила тебя помыть посуду.","Sasha, Mom asked you to wash the dishes."
66,Я хочу взять интервью у артиста цирка.,I want to interview a circus performer.
67,"Работа в цирке тяжёлая, но интересная.",Working in the circus is hard but interesting
68,Этот цирк великолепен!,This circus is incredible!
69,После обеда я всегда хочу спать.,After lunch I always want to sleep.
70,Обед начинается в два часа.,Lunch starts at two o'clock.
71,"Думаю, мы вернёмся к обеду.",I think we're going to come back before lunch.
72,Я положила в торт двести грамм сахара.,I put 200g of sugar in the cake.
